10000m men,rio 2016,Mohamed Farah,GBR,1.,27:05.17
10000m men,rio 2016,Paul Kipngetich Tanui,KEN,2.,27:05.64
10000m men,rio 2016,Tamirat Tola,ETH,3.,27:06.26
10000m men,rio 2016,Yigrem Demelash,ETH,4.,27:06.27
10000m men,rio 2016,Galen Rupp,USA,5.,27:08.92
10000m men,rio 2016,Joshua Kiprui Cheptegei,UGA,6.,27:10.06
10000m men,rio 2016,Bedan Karoki Muchiri,KEN,7.,27:22.93
10000m men,rio 2016,Zersenay Tadese,ERI,8.,27:23.86
10000m men,rio 2016,Nguse Amlosom,ERI,9.,27:30.79
10000m men,rio 2016,Abraham Naibei Cheroben,BRN,10.,27:31.86
10000m men,rio 2016,Geoffrey Kipsang Kamworor,KEN,11.,27:31.94
10000m men,rio 2016,Zane Robertson,NZL,12.,27:33.67
10000m men,rio 2016,Polat Kemboi Arikan,TUR,13.,27:35.50
10000m men,rio 2016,Leonard Essau Korir,USA,14.,27:35.65
10000m men,rio 2016,Abadi Hadis,ETH,15.,27:36.34
10000m men,rio 2016,David Mcneill,AUS,16.,27:51.71
10000m men,rio 2016,Suguru Osako,JPN,17.,27:51.94
10000m men,rio 2016,Stephen Mokoka,RSA,18.,27:54.57
10000m men,rio 2016,Shadrack Kipchirchir,USA,19.,27:58.32
10000m men,rio 2016,Bashir Abdi,BEL,20.,28:01.49
10000m men,rio 2016,Luis Ostos,PER,21.,28:02.03
10000m men,rio 2016,Moses Martin Kurong,UGA,22.,28:03.38
10000m men,rio 2016,Timothy Toroitich,UGA,23.,28:04.84
10000m men,rio 2016,Goitom Kifle,ERI,24.,28:15.99
10000m men,rio 2016,Andrew Vernon,GBR,25.,28:19.36
10000m men,rio 2016,El Hassan Elabbassi,BRN,26.,28:20.17
10000m men,rio 2016,Olivier Irabaruta 1,BDI,27.,28:32.75
10000m men,rio 2016,Ben St Lawrence,AUS,28.,28:46.32
10000m men,rio 2016,Yuta Shitara,JPN,29.,28:55.23
10000m men,rio 2016,Kota Murayama,JPN,30.,29:02.51
10000m men,rio 2016,Ross Millington,GBR,31.,29:14.95
10000m men,rio 2016,Mohammed Ahmed,CAN,32.,29:32.84
100m men,rio 2016,Usain Bolt,JAM,1.,9.81
100m men,rio 2016,Justin Gatlin,USA,2.,9.89
100m men,rio 2016,Andre De Grasse,CAN,3.,9.91
100m men,rio 2016,Yohan Blake,JAM,4.,9.93
100m men,rio 2016,Akani Simbine,RSA,5.,9.94
100m men,rio 2016,Ben Youssef Meite,CIV,6.,9.96
100m men,rio 2016,Jimmy Vicaut,FRA,7.,10.04
100m men,rio 2016,Trayvon Bromell,USA,8.,10.06
110m hurdles men,rio 2016,Omar Mcleod,JAM,1.,13.05
110m hurdles men,rio 2016,Orlando Ortega 1,ESP,2.,13.17
110m hurdles men,rio 2016,Dimitri Bascou,FRA,3.,13.24
110m hurdles men,rio 2016,Pascal Martinot Lagarde,FRA,4.,13.29
110m hurdles men,rio 2016,Devon Allen,USA,5.,13.31
110m hurdles men,rio 2016,Johnathan Cabral,CAN,6.,13.40
110m hurdles men,rio 2016,Milan Trajkovic,CYP,7.,13.41
1500m men,rio 2016,Matthew Centrowitz,USA,1.,3:50.00
1500m men,rio 2016,Taoufik Makhloufi,ALG,2.,3:50.11
1500m men,rio 2016,Nicholas Willis,NZL,3.,3:50.24
1500m men,rio 2016,Ayanleh Souleiman,DJI,4.,3:50.29
